,Client type,Age,Sex,Ethnicity,Region,Call answered
1,JS,43,F,NZ Maori,Waikato,n
2,SPS,42,F,NZ Maori,Northland,n
4,SPS,43,F,NZEU,Canterbury,n
5,SPS,44,F,NZEU,Tasman,n
6,JS,62,M,NZEU,Tasman,n
7,JS,42,M,NZEU,Manawatū-Whanganui,n
8,JS,46,F,NZEU,Northland,n
10,JS,41,M,English,Manawatū-Whanganui,n
12,SPS,35,F,NZ Maori / NZEU,Canterbury,n
13,JS,39,M,NZEU,Auckland,n
15,SPS,33,F,NZEU,Canterbury,n
18,SPS,41,F,Samoan,Auckland,n
20,SPS,33,F,Tongan,Auckland,n
21,JS,31,M,Chinse,Auckland,n
23,JS,27,M,Gypsy / EU,Auckland,n
24,JS,19,F,NZ Maori,Auckland,n
26,JS,26,M,NZ Maori,Hawkes Bay,n
28,JS,23,F,NZEU,Waikato,n
29,JS,27,M,NZEU,Wellington,n
30,SPS,30,F,NZEU,Taranaki,n
31,JS,30,F,Samoan,Auckland,n
32,JS,21,M,,Canterbury,n
33,SPS,33,F,Fijian,Auckland,n
34,JS,30,M,India,Southland,n
35,JS,19,M,Kiribati,Auckland,n
36,JS,20,M,NZ Maori,Manawatū-Whanganui,n
40,SPS,26,F,Samoan,Bay of Plenty,n
41,JS,23,F,South African,Canterbury,n
44,JS,52,F,,Bay of Plenty,n
45,SPS,21,F,,Auckland,n
47,JS,53,M,Cook Island Maori,Hawkes Bay,n
49,JS,53,M,NZ Maori,Bay of Plenty,n
52,JS,54,M,NZ Maori,Wellington,n
53,SLP,62,M,NZ Maori,Canterbury,n
54,SLP,64,M,NZ Maori,Bay of Plenty,n
57,JS Sole,55,F,NZ Maori,Wellington,n
60,JS,54,M,NZEU,Auckland,n
62,JS,56,F,NZEU,Hawkes Bay,n
64,JS,54,M,Samoan,Auckland,n
67,JS,54,M,NZ Maori,Otago,n
70,JS,51,M,NZ Maori / NZEU,Hawkes Bay,n
71,JS,49,M,NZEU,Taranaki,n
72,JS,62,F,NZEU,Waikato,n
77,JS,57,M,Tongan,Auckland,n
78,JS,45,M,Cook Island Maori,Auckland,n
81,JS,46,F,NZ Maori,Wellington,n
83,JS,46,F,NZEU,Otago,n
84,JS,44,M,NZEU,Wellington,n
88,SLP,56,F,NZEU,Auckland,n
89,JS,48,F,NZEU / Tongan,Northland,n
91,JS,36,M,Cook Island Maori,Wellington,n
92,SPS,37,F,Malaysian Chinese / NZ Maori,Auckland,n
93,JS,62,F,Niuean,Auckland,n
94,JS,39,F,Niuean,Auckland,n
95,JS,43,F,NZ Maori,Auckland,n
98,SPS,37,M,NZ Maori,Auckland,n
101,JS,43,M,NZEU,Bay of Plenty,n
102,JS,38,M,NZEU,Bay of Plenty,n
103,SPS,39,F,NZEU,Auckland,n
104,JS,37,M,NZEU,Waikato,n
106,JS,41,M,NZEU,Manawatū-Whanganui,n
107,JS,43,F,Samoan,Auckland,n
109,SPS,40,F,Samoan,Hawkes Bay,n
112,SLP,40,F,Tongan,Auckland,n
113,JS,36,M,Afghani,Auckland,n
116,JS,33,M,NZ Maori,Taranaki,n
